ITEM_20150317_000001	Empty_helmet	없음_helmet
ITEM_20190419_021888	Outfit worn only by the most talented of Tiger Hunters.	산포 중에서도 사냥 실력이 뛰어난 산포들이 입는 의상입니다.
ITEM_20190419_021889	Tiger Hunter White Tiger Special Costume	산포 백호가죽 스페셜 코스튬
ITEM_20190419_021890	Matross Costume	매트로스 코스튬
ITEM_20190419_021891	Basic costume given to all Matrosses.	매트로스가 되면 기본적으로 지급되는 의상입니다.
ITEM_20190419_021892	Matross Special Costume	매트로스 스페셜 코스튬
ITEM_20190419_021893	Symbol of honor awarded to Matrosses who have emerged victorious in battle.	전투에서 승리한 매트로스에게 지급되는, 명예를 상징하는 의상입니다.
ITEM_20190419_021894	Matross Victor Costume	매트로스 빅터 코스튬
ITEM_20190419_021895	Garments awarded to the most talented Matrosses in the battlefield.	수많은 전투를 치른 노련한 매트로스가 입는 의상입니다.
ITEM_20190419_021896	Matross Victor Special Costume	매트로스 빅터 스페셜 코스튬
ITEM_20190419_021897	[Event] Tiger Hunter White Tiger Costume	[이벤트] 산포 백호가죽 코스튬
ITEM_20190419_021898	[Event] Matross Victor Costume	[이벤트] 매트로스 빅터 코스튬
ITEM_20190419_021899	Ardito Costume	아르디티 코스튬
ITEM_20190419_021900	The Arditi are known for charging onto enemy forces with ruthless attacks. This costume is a reflection of that.	아르디티는 적진 한가운데로 돌격하여 무자비하게 공격을 퍼붓습니다. 이 의상은 그런 아르디티가 활동하기에 적합하게 제작되었습니다.
ITEM_20190419_021901	Ardito Seasoned Troops Costume	아르디티 시즌드 트룹스 코스튬
ITEM_20190419_021902	Clothes granted to honorable Arditi who survived in the front lines of battle.	최전선에서 살아남은 정예 아르디티를 위한 의상입니다.
ITEM_20190419_021903	Ardito Special Costume	아르디티 스페셜 코스튬
ITEM_20190419_021904	Garments worn by Arditi well-versed in grenade combat techniques.	수류탄을 노련하게 사용할 수 있는 자만이 지급받는 아르디티 의상입니다.
ITEM_20190419_021905	Ardito Seasoned Troops Special Costume	아르디티 시즌드 트룹스 스페셜 코스튬
ITEM_20190419_021906	Arditi who wear these clothes are known on the battlefield as the personification of war itself.	출전한 병사들은 이 옷을 입은 아르디티를 전장의 화신이었다고 칭합니다.
ITEM_20190419_021907	Sheriff Costume	셰리프 코스튬
ITEM_20190419_021908	Costume worn by Sheriffs who are in charge of a jurisdiction.	한 구역의 보안을 책임질 수 있는 셰리프가 지급 받는 의상입니다.
ITEM_20190419_021909	Sheriff Raven Costume	셰리프 레이븐 코스튬
ITEM_20190419_021910	Clothes given only to Sheriffs recognized by Class Master Evan.	셰리프 마스터 에반이 인정한 셰리프만이 지급 받을 수 있는 의상입니다.
ITEM_20190419_021911	Sheriff Special Costume	셰리프 스페셜 코스튬
ITEM_20190419_021912	Costume worn by Sheriffs in charge of assuring.	한 마을의 보안을 책임질 수 있는 셰리프가 지급 받는 의상입니다.
ITEM_20190419_021913	Sheriff Raven Special Costume	셰리프 레이븐 스페셜 코스튬
ITEM_20190419_021914	Garments awarded by Sheriff Evan to those who have been recognized as a master marksman by the great Sheriff himself.	셰리프 마스터 에반이 자신보다 뛰어난 사격술을 가지고 있다고 판단되는 셰리프에게 지급해 주는 의상입니다.
ITEM_20190419_021915	[Event] Ardito Seasoned Troops Costume	[이벤트] 아르디티 시즌드 트룹스 코스튬
ITEM_20190419_021916	[Event] Sheriff Raven Costume	[이벤트] 셰리프 레이븐 코스튬
ITEM_20190419_021917	A heart-shaped treat for a special day.	화이트데이를 기념하여 구원자 여러분께 드리는, 하트모양을 한 달콤한 사탕입니다
ITEM_20190419_021918	This tiny baby chick seems to have made a nest out of your head! But beware, it may grow a little hefty when it turns into a chicken...{nl}Use to change your appearance.{nl}Can be exchanged for Medals at the Exchange Shop.	머리 위가 푹신해서 기분이 좋은지 삐약삐약 병아리가 머리 위에 그대로 눌러 앉았습니다. 닭으로 성장하면 얼마나 무거워질까요..{nl}착용하면 외형이 변경 됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.
ITEM_20190419_021919	Laima Kindergarten Hat	라이마 유치원 원아 모자
ITEM_20190419_021920	The hat worn by Laima Kindergarten students, known for its bright, baby chick-yellow color.{nl}Use to change your appearance.{nl}Can be exchanged for Medals at the Exchange Shop.	삐약삐약 병아리처럼 무럭무럭 자라나는 새싹, 귀여운 라이마 유치원의 아기 오리 모자입니다.{nl}착용하면 외형이 변경 됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.
ITEM_20190419_021921	Little Budding Sprout	무럭무럭 자라나는 새싹
ITEM_20190419_021922	This little budding sprout symbolizes growth.{nl}Use to change your appearance.	무럭무럭 자라나 잘 크기를 바라는 마음을 담은 새싹입니다{nl}착용하면 외형이 변경 됩니다.
ITEM_20190419_021923	Crunchy Choco Dagger	바삭바삭 초콜릿 대거
ITEM_20190419_021924	Crunchy Choco Sword	바삭바삭 초콜릿 소드
ITEM_20190419_021925	Crunchy Choco Two-handed Sword	바삭바삭 초콜릿 투 핸드 소드
ITEM_20190419_021926	Crunchy Choco Rapier	바삭바삭 초콜릿 레이피어
ITEM_20190419_021927	Crunchy Choco Shield	바삭바삭 초콜릿 실드
ITEM_20190419_021928	Crunchy Choco Pike	바삭바삭 초콜릿 파이크
ITEM_20190419_021929	Crunchy Choco Spear	바삭바삭 초콜릿 스피어
ITEM_20190419_021930	Crunchy Choco Two-handed Mace	바삭바삭 초콜릿 투 핸드 메이스
ITEM_20190419_021931	Crunchy Choco Mace	바삭바삭 초콜릿 메이스
ITEM_20190419_021932	Crunchy Choco Staff	바삭바삭 초콜릿 스태프
ITEM_20190419_021933	Crunchy Choco Rod	바삭바삭 초콜릿 로드
ITEM_20190419_021934	Crunchy Choco Bow	바삭바삭 초콜릿 보우
ITEM_20190419_021935	Crunchy Choco Crossbow	바삭바삭 초콜릿 크로스보우
ITEM_20190419_021936	Cruncy Choco Cannon	바삭바삭 초콜릿 캐논
ITEM_20190419_021937	Crunchy Choco Musket	바삭바삭 초콜릿 머스킷
ITEM_20190419_021938	Crunchy Choco Pistol	바삭바삭 초콜릿 피스톨
ITEM_20190419_021939	[Episode 11] Deathweaver Cutter (30 Days)	[Episode11] 데스위버 커터 (30일)
ITEM_20190419_021940	[Episode 11] Deathweaver Tooth (30 Days)	[Episode11] 데스위버 투스 (30일)
ITEM_20190419_021941	[Episode 11] Deathweaver Rod (30 Days)	[Episode11] 데스위버 로드 (30일)
ITEM_20190419_021942	[Episode 11] Melinas Staff (30 Days)	[Episode11] 멜리나스 스태프 (30일)
ITEM_20190419_021943	[Episode 11] Deathweaver Bow (30 Days)	[Episode11] 데스위버 보우 (30일)
ITEM_20190419_021944	[Episode 11] Deathweaver Crossbow (30 Days)	[Episode11] 데스위버 크로스보우 (30일)
ITEM_20190419_021945	[Episode 11] Vubbe Morning Star (30 Days)	[Episode11] 부베 모닝스타 (30일)
ITEM_20190419_021946	[Episode 11] Vubbe Armor (30 Days)	[Episode11] 부베 아머 (30일)
ITEM_20190419_021947	[Episode 11] Vubbe Pants (30 Days)	[Episode11] 부베 팬츠 (30일)
ITEM_20190419_021948	[Episode 11] Cheminis Sword (30 Days)	[Episode11] 케미니스 소드 (30일)
ITEM_20190419_021949	[Episode 11] Chapparition Two-handed Sword (30 Days)	[Episode11] 채퍼리션 투 핸드 소드 (30일)
ITEM_20190419_021950	[Episode 11] Chapparition Rod (30 Days)	[Episode11] 채퍼리션 로드 (30일)
ITEM_20190419_021951	[Episode 11] Patrice Staff (30 Days)	[Episode11] 파트리스 스태프 (30일)
ITEM_20190419_021952	[Episode 11] Chapparition Bow (30 Days)	[Episode11] 채퍼리션 보우 (30일)
ITEM_20190419_021953	[Episode 11] Chapparition Shooter (30 Days)	[Episode11] 채퍼리션 슈터 (30일)
ITEM_20190419_021954	[Episode 11] Chapparition Mace (30 Days)	[Episode11] 채퍼리션 메이스 (30일)
ITEM_20190419_021955	[Episode 11] Silver Spear (30 Days)	[Episode11] 실버 스피어 (30일)
ITEM_20190419_021956	[Episode 11] Cheminis Pike (30 Days)	[Episode11] 케미니스 파이크 (30일)
ITEM_20190419_021957	[Episode 11] Mark Tunic (30 Days)	[Episode11] 마크 튜닉 (30일)
ITEM_20190419_021958	[Episode 11] Mark Pants (30 Days)	[Episode11] 마크 팬츠 (30일)
ITEM_20190419_021959	[Episode 11] Durandal (30 Days)	[Episode11] 듀란달 (30일)
ITEM_20190419_021960	[Episode 11] Flamini (30 Days)	[Episode11] 플라미니 (30일)
ITEM_20190419_021961	[Episode 11] Secretum (30 Days)	[Episode11] 세크레툼 (30일)
ITEM_20190419_021962	[Episode 11] Candle Staff (30 Days)	[Episode11] 캔들 스태프 (30일)
ITEM_20190419_021963	[Episode 11] Heart Seeker (30 Days)	[Episode11] 하트 시커 (30일)
ITEM_20190419_021964	[Episode 11] Shooting Star (30 Days)	[Episode11] 슈팅스타 (30일)
ITEM_20190419_021965	[Episode 11] Escanciu Mace (30 Days)	[Episode11] 에산치우 메이스 (30일)
ITEM_20190419_021966	[Episode 11] Doom Spear (30 Days)	[Episode11] 둠 스피어 (30일)
ITEM_20190419_021967	[Episode 11] Laideca (30 Days)	[Episode11] 라이데카 (30일)
ITEM_20190419_021968	[Episode 11] Brigandine Armor (30 Days)	[Episode11] 브리간딘 아머 (30일)
ITEM_20190419_021969	[Episode 11] Brigandine Pants (30 Days)	[Episode11] 브리간딘 팬츠 (30일)
ITEM_20190419_021970	[Episode 11] Velniup (30 Days)	[Episode11] 벨니웁 (30일)
ITEM_20190419_021971	[Episode 11] Tily Two-handed Sword (30 Days)	[Episode11] 틸리 투 핸드 소드 (30일)
ITEM_20190419_021972	[Episode 11] Temere (30 Days)	[Episode11] 테메레 (30일)
ITEM_20190419_021973	[Episode 11] Sunflower (30 Days)	[Episode11] 선플라워 (30일)
ITEM_20190419_021974	[Episode 11] Wilding Bane (30 Days)	[Episode11] 와이들링 베인 (30일)
ITEM_20190419_021975	[Episode 11] Seimos Crossbow (30 Days)	[Episode11] 세이모스 크로스보우 (30일)
ITEM_20190419_021976	[Episode 11] Semios Mace (30 Days)	[Episode11] 세이모스 메이스 (30일)
ITEM_20190419_021977	[Episode 11] Seimos Spear (30 Days)	[Episode11] 세이모스 스피어 (30일)
ITEM_20190419_021978	[Episode 11] Seimos Pike (30 Days)	[Episode11] 세이모스 파이크 (30일)
ITEM_20190419_021979	[Episode 11] Hunting Armor (30 Days)	[Episode11] 헌팅 아머 (30일)
ITEM_20190419_021980	[Episode 11] Hunting Pants (30 Days)	[Episode11] 헌팅 팬츠 (30일)
ITEM_20190419_021981	[Episode 11] Flame (30 Days)	[Episode11] 플레임 (30일)
ITEM_20190419_021982	[Episode 11] Hell and Heaven (30 Days)	[Episode11] 헬 엔드 헤븐 (30일)
ITEM_20190419_021983	[Episode 11] Casti Rod (30 Days)	[Episode11] 카스티 로드 (30일)
ITEM_20190419_021984	[Episode 11] Maledoom (30 Days)	[Episode11] 말레둠 (30일)
ITEM_20190419_021985	[Episode 11] Casti Bow (30 Days)	[Episode11] 카스티 보우 (30일)
ITEM_20190419_021986	[Episode 11] Karacha Crossbow (30 Days)	[Episode11] 카라챠 크로스보우 (30일)
ITEM_20190419_021987	[Episode 11] Drake Tail (30 Days)	[Episode11] 드레이크 테일 (30일)
ITEM_20190419_021988	[Episode 11] Casti Spear (30 Days)	[Episode11] 카스티 스피어 (30일)
ITEM_20190419_021989	[Episode 11] Magas Pike (30 Days)	[Episode11] 마가스 파이크 (30일)
ITEM_20190419_021990	[Episode 11] Duelist (30 Days)	[Episode11] 듀얼리스트 (30일)
ITEM_20190419_021991	[Episode 11] Veteran Tunic (30 Days)	[Episode11] 베테랑 튜닉 (30일)
ITEM_20190419_021992	[Episode 11] Veteran Pants (30 Days)	[Episode11] 베테랑 팬츠 (30일)
ITEM_20190419_021993	[Episode 11] Pensara Sword (30 Days)	[Episode11] 펜사라 소드 (30일)
ITEM_20190419_021994	[Episode 11] Pensara Two-handed Sword (30 Days)	[Episode11] 펜사라 투 핸드 소드 (30일)
ITEM_20190419_021995	[Episode 11] Pensara Rod (30 Days)	[Episode11] 펜사라 로드 (30일)
ITEM_20190419_021996	[Episode 11] Power Staff (30 Days)	[Episode11] 파워 스태프 (30일)
ITEM_20190419_021997	[Episode 11] Marksman (30 Days)	[Episode11] 마크맨 (30일)
ITEM_20190419_021998	[Episode 11] Didel Grand Cross (30 Days)	[Episode11] 디델 그랜드 크로스 (30일)
ITEM_20190419_021999	[Episode 11] Pensara Mace (30 Days)	[Episode11] 펜사라 메이스 (30일)
ITEM_20190419_022000	[Episode 11] Pensara Spear (30 Days)	[Episode11] 펜사라 스피어 (30일)
ITEM_20190419_022001	[Episode 11] Pensara Pike (30 Days)	[Episode11] 펜사라 파이크 (30일)
ITEM_20190419_022002	[Episode 11] Spada (30 Days)	[Episode11] 스파다 (30일)
ITEM_20190419_022003	[Episode 11] Finisher (30 Days)	[Episode11] 피니셔 (30일)
ITEM_20190419_022004	[Episode 11] Bandit Armor (30 Days)	[Episode11] 밴딧 아머 (30일)
ITEM_20190419_022005	[Episode 11] Bandit Pants (30 Days)	[Episode11] 밴딧 팬츠 (30일)
ITEM_20190419_022006	[Episode 11] Primus Migantis Sword (30 Days)	[Episode11] 프리머스 미간티스 소드 (30일)
ITEM_20190419_022007	[Episode 11] Primus Migantis Two-handed Sword (30 Days)	[Episode11] 프리머스 미간티스 투 핸드 소드 (30일)
ITEM_20190419_022008	[Episode 11] Primus Migantis Rod (30 Days)	[Episode11] 프리머스 미간티스 로드 (30일)
ITEM_20190419_022009	[Episode 11] Primus Migantis Bow (30 Days)	[Episode11] 프리머스 미간티스 보우 (30일)
ITEM_20190419_022010	[Episode 11] Primus Migantis Crossbow (30 Days)	[Episode11] 프리머스 미간티스 크로스보우 (30일)
ITEM_20190419_022011	[Episode 11] Primus Migantis Mace (30 Days)	[Episode11] 프리머스 미간티스 메이스 (30일)
ITEM_20190419_022012	[Episode 11] Primus Migantis Two-handed Mace (30 Days)	[Episode11] 프리머스 미간티스 투 핸드 메이스 (30일)
ITEM_20190419_022013	[Episode 11] Primus Migantis Spear (30 Days)	[Episode11] 프리머스 미간티스 스피어 (30일)
ITEM_20190419_022014	[Episode 11] Primus Migantis Pike (30 Days)	[Episode11] 프리머스 미간티스 파이크 (30일)
ITEM_20190419_022015	[Episode 11] Primus Migantis Staff (30 Days)	[Episode11] 프리머스 미간티스 스태프 (30일)
ITEM_20190419_022016	[Episode 11] Primus Migantis Pistol (30 Days)	[Episode11] 프리머스 미간티스 피스톨 (30일)
ITEM_20190419_022017	[Episode 11] Primus Migantis Rapier (30 Days)	[Episode11] 프리머스 미간티스 레이피어 (30일)
ITEM_20190419_022018	[Episode 11] Primus Migantis Cannon (30 Days)	[Episode11] 프리머스 미간티스 캐논 (30일)
ITEM_20190419_022019	[Episode 11] Primus Migantis Musket (30 Days)	[Episode11] 프리머스 미간티스 머스킷 (30일)
ITEM_20190419_022020	[Episode 11] Primus Albinosas Leather Armor (30 Days)	[Episode11] 프리머스 알비노사스 레더 아머 (30일)
ITEM_20190419_022021	[Episode 11] Primus Albinosas Leather Pants (30 Days)	[Episode11] 프리머스 알비노사스 레더 팬츠 (30일)
ITEM_20190419_022022	[Episode 11] Primus Pevordimas Sword (30 Days)	[Episode11] 프리머스 페버디마스 소드 (30일)
ITEM_20190419_022023	[Episode 11] Primus Pevordimas Two-handed Sword (30 Days)	[Episode11] 프리머스 페버디마스 투 핸드 소드 (30일)
ITEM_20190419_022024	[Episode 11] Primus Pevordimas Two-handed Sword (30 Days)	[Episode11] 프리머스 페버디마스 로드 (30일)
ITEM_20190419_022025	[Episode 11] Primus Pevordimas Bow (30 Days)	[Episode11] 프리머스 페버디마스 보우 (30일)
ITEM_20190419_022026	[Episode 11] Primus Pevordimas Crossbow (30 Days)	[Episode11] 프리머스 페버디마스 크로스보우 (30일)
ITEM_20190419_022027	[Episode 11] Primus Pevordimas Mace (30 Days)	[Episode11] 프리머스 페버디마스 메이스 (30일)
ITEM_20190419_022028	[Episode 11] Primus Pevordimas Two-handed Mace (30 Days)	[Episode11] 프리머스 페버디마스 투 핸드 메이스 (30일)
ITEM_20190419_022029	[Episode 11] Primus Pevordimas Spear (30 Days)	[Episode11] 프리머스 페버디마스 스피어 (30일)
ITEM_20190419_022030	[Episode 11] Primus Pevordimas Pike (30 Days)	[Episode11] 프리머스 페버디마스 파이크 (30일)
ITEM_20190419_022031	[Episode 11] Primus Pevordimas Staff (30 Days)	[Episode11] 프리머스 페버디마스 스태프 (30일)
ITEM_20190419_022032	[Episode 11] Primus Pevordimas Pistol (30 Days)	[Episode11] 프리머스 페버디마스 피스톨 (30일)
ITEM_20190419_022033	[Episode 11] Primus Pevordimas Rapier (30 Days)	[Episode11] 프리머스 페버디마스 레이피어 (30일)
ITEM_20190419_022034	[Episode 11] Primus Pevordimas Cannon (30 Days)	[Episode11] 프리머스 페버디마스 캐논 (30일)
ITEM_20190419_022035	[Episode 11] Primus Pevordimas Musket (30 Days)	[Episode11] 프리머스 페버디마스 머스킷 (30일)
ITEM_20190419_022036	[Episode 11] Primus Kaulas Leather Armor (30 Days)	[Episode11] 프리머스 카울라스 레더 아머 (30일)
ITEM_20190419_022037	[Episode 11] Primus Kaulas Leather Pants (30 Days)	[Episode11] 프리머스 카울라스 레더 팬츠 (30일)
ITEM_20190419_022038	[Episode 11] Primus Raffye Sword (30 Days)	[Episode11] 프리머스 라파이 소드 (30일)
ITEM_20190419_022039	[Episode 11] Primus Raffye Two-handed Sword (30 Days)	[Episode11] 프리머스 라파이 투 핸드 소드 (30일)
ITEM_20190419_022040	[Episode 11] Primus Raffye Rod (30 Days)	[Episode11] 프리머스 라파이 로드 (30일)
ITEM_20190419_022041	[Episode 11] Primus Raffye Bow (30 Days)	[Episode11] 프리머스 라파이 보우 (30일)
ITEM_20190419_022042	[Episode 11] Primus Raffye Crossbow (30 Days)	[Episode11] 프리머스 라파이 크로스보우 (30일)
ITEM_20190419_022043	[Episode 11] Primus Raffye Mace (30 Days)	[Episode11] 프리머스 라파이 메이스 (30일)
ITEM_20190419_022044	[Episode 11] Primus Raffye Two-handed Mace (30 Days)	[Episode11] 프리머스 라파이 투 핸드 메이스 (30일)
ITEM_20190419_022045	[Episode 11] Primus Raffye Shield (30 Days)	[Episode11] 프리머스 라파이 실드 (30일)
ITEM_20190419_022046	[Episode 11] Primus Raffye Spear (30 Days)	[Episode11] 프리머스 라파이 스피어 (30일)
ITEM_20190419_022047	[Episode 11] Primus Raffye Pike (30 Days)	[Episode11] 프리머스 라파이 파이크 (30일)
ITEM_20190419_022048	[Episode 11] Primus Raffye Dagger (30 Days)	[Episode11] 프리머스 라파이 대거 (30일)
ITEM_20190419_022049	[Episode 11] Primus Raffye Staff (30 Days)	[Episode11] 프리머스 라파이 스태프 (30일)
ITEM_20190419_022050	[Episode 11] Primus Raffye Pistol (30 Days)	[Episode11] 프리머스 라파이 피스톨 (30일)
ITEM_20190419_022051	[Episode 11] Primus Raffye Rapier (30 Days)	[Episode11] 프리머스 라파이 레이피어 (30일)
ITEM_20190419_022052	[Episode 11] Primus Raffye Cannon (30 Days)	[Episode11] 프리머스 라파이 캐논 (30일)
ITEM_20190419_022053	[Episode 11] Primus Raffye Musket (30 Days)	[Episode11] 프리머스 라파이 머스킷 (30일)
ITEM_20190419_022054	[Episode 11] Primus Jevenellis Leather Armor (30 Days)	[Episode11] 프리머스 제베넬리스 레더 아머 (30일)
ITEM_20190419_022055	[Episode 11] Primus Jevenellis Leather Pants (30 Days)	[Episode11] 프리머스 제베넬리스 레더 팬츠 (30일)
ITEM_20190419_022056	[Episode 11] Stiletto (30 Days)	[Episode11] 스틸레토 (30일)
ITEM_20190419_022057	[Episode 11] Blue Stiletto (30 Days)	[Episode11] 블루 스틸레토 (30일)
ITEM_20190419_022058	[Episode 11] Berthas Sketis Dagger (30 Days)	[Episode11] 베르타스 스케티스 대거 (30일)
ITEM_20190419_022059	[Episode 11] Berthas Short Duelist (30 Days)	[Episode11] 베르타스 숏 듀얼리스트 (30일)
ITEM_20190419_022060	[Episode 11] Berthas Small Crystaras (30 Days)	[Episode11] 베르타스 스몰 크리스타라스 (30일)
ITEM_20190419_022061	[Episode 11] Berthas Pajoritas Dagger (30 Days)	[Episode11] 베르타스 파저리타스 대거 (30일)
ITEM_20190419_022062	[Episode 11] Primus Migantis Dagger (30 Days)	[Episode11] 프리머스 미간티스 대거 (30일)
ITEM_20190419_022063	[Episode 11] Primus Pevordimas Dagger (30 Days)	[Episode11] 프리머스 페버디마스 대거 (30일)
ITEM_20190419_022064	[Episode 11] Wooden Buckler (30 Days)	[Episode11] 우든 버클러 (30일)
ITEM_20190419_022065	[Episode 11] Round Shield (30 Days)	[Episode11] 라운드 실드 (30일)
ITEM_20190419_022066	[Episode 11] Berthas Sketis Shield (30 Days)	[Episode11] 베르타스 스케티스 실드 (30일)
ITEM_20190419_022067	[Episode 11] Berthas Spike Kindl (30 Days)	[Episode11] 베르타스 스파이크 킨들 (30일)
ITEM_20190419_022068	[Episode 11] Berthas Rodeleine Shield (30 Days)	[Episode11] 베르타스 로들렌 실드 (30일)
ITEM_20190419_022069	[Episode 11] Berthas Pajoritas Shield (30 Days)	[Episode11] 베르타스 파저리타스 실드 (30일)
ITEM_20190419_022070	[Episode 11] Primus Migantis Shield (30 Days)	[Episode11] 프리머스 미간티스 실드 (30일)
ITEM_20190419_022071	[Episode 11] Primus Pevordimas Shield (30 Days)	[Episode11] 프리머스 페버디마스 실드 (30일)
ITEM_20190419_022072	[Episode 11] Practice Cannon (30 Days)	[Episode11] 연습용 캐논 (30일)
ITEM_20190419_022073	[Episode 11] Berthas Reine Cannon (30 Days)	[Episode11] 베르타스 레이네 캐논 (30일)
ITEM_20190419_022074	[Episode 11] Berthas Pajoritas Cannon (30 Days)	[Episode11] 베르타스 파저리타스 캐논 (30일)
ITEM_20190419_022075	[Episode 11] Practice Musket (30 Days)	[Episode11] 연습용 머스킷 (30일)
ITEM_20190419_022076	[Episode 11] Berthas Crystaras Musket (30 Days)	[Episode11] 베르타스 크리스타라스 머스킷 (30일)
ITEM_20190419_022077	[Episode 11] Practice Rapier (30 Days)	[Episode11] 연습용 레이피어 (30일)
ITEM_20190419_022078	[Episode 11] Dunkel Rapier (30 Days)	[Episode11] 던켈 레이피어 (30일)
ITEM_20190419_022079	[Episode 11] Berthas Sketis Rapier (30 Days)	[Episode11] 베르타스 스케티스 레이피어 (30일)
ITEM_20190419_022080	[Episode 11] Berthas Duelist Rapier (30 Days)	[Episode11] 베르타스 듀얼리스트 레이피어 (30일)
ITEM_20190419_022081	[Episode 11] Dunkel Pistol (30 Days)	[Episode11] 던켈 피스톨 (30일)
ITEM_20190419_022082	[Episode 11] Dunkel Wooden Pistol (30 Days)	[Episode11] 던켈 우든 피스톨 (30일)
ITEM_20190419_022083	[Episode 11] Berthas Sketis Pistol (30 Days)	[Episode11] 베르타스 스케티스 피스톨 (30일)
ITEM_20190419_022084	[Episode 11] Berthas Spiare Pistol (30 Days)	[Episode11] 베르타스 스피아 피스톨 (30일)
ITEM_20190419_022085	[Episode 11] Berthas Alcris (30 Days)	[Episode11] 베르타스 알크리스 (30일)
ITEM_20190419_022086	[Episode 11] Berthas Pajoritas Pistol (30 Days)	[Episode11] 베르타스 파저리타스 피스톨 (30일)
ITEM_20190419_022087	I♥TOS Costume (M)	I♥TOS 코스튬(남)
ITEM_20190419_022088	Show your love for TOS with this commemorative costume. Use to change your appearance.	2019년 식목일을 기념하여 제작된 I♥TOS 코스튬입니다. 착용하면 외형이 변경됩니다.
ITEM_20190419_022089	I♥TOS Costume (F)	I♥TOS 코스튬(여)
ITEM_20190419_022090	[Episode 11] Traxia (30 Days)	[Episode11] 트렉시아(30일)
ITEM_20190419_022091	[Episode 11] Erera Cannon (30 Days)	[Episode11] 이레라 캐논(30일)
ITEM_20190419_022092	[Episode 11] Two-handed Battle Maul (30 Days)	[Episode11] 투 핸드 배틀 마울(30일)
ITEM_20190419_022093	[Episode 11] Crystaras Musket (30 Days)	[Episode11] 크리스타라스 머스킷(30일)
ITEM_20190419_022094	[Episode 11] Adatag (30 Days)	[Episode11] 아다타그(30일)
ITEM_20190419_022095	[Episode 11] Pensara Musket (30 Days)	[Episode11] 펜사라 머스킷(30일)
ITEM_20190419_022096	[Episode 11] Reine Two-handed Mace (30 Days)	[Episode11] 레이네 투 핸드 메이스(30일)
ITEM_20190419_022097	[Episode 11] Stropy Cannon (30 Days)	[Episode11] 스트로피 캐논(30일)
ITEM_20190419_022098	[Episode 11] Vista Cannon (30 Days)	[Episode11] 비스타 캐논(30일)
ITEM_20190419_022099	[Episode 11] Migantis Musket (30 Days)	[Episode11] 미간티스 머스킷(30일)
ITEM_20190419_022100	[Episode 11] Finisher (30 Days)	[Episode11] 피니셔(30일)
ITEM_20190419_022101	[Episode 11] Two-handed Rune Mace	[Episode11] 투 핸드 룬 메이스(30일)
ITEM_20190419_022102	[Episode 11] Vienarazis Two-handed Mace	[Episode11] 비엔나라지스 투 핸드 메이스(30일)
ITEM_20190419_022103	[Episode 11] Pajoritas Two-handed Mace	[Episode11] 파저리타스 투 핸드 메이스(30일)
ITEM_20190419_022104	[Episode 11] Krendall Two-handed Mace (30 Days)	[Episode11] 크렌달 투 핸드 메이스(30일)
ITEM_20190419_022105	Dokkaebi Epaulet	도깨비 견장
ITEM_20190419_022106	[Tiger Hunter Special Costume]	[산포 스페셜 코스튬]
ITEM_20190419_022107	An epaulet awarded to the greatest of hunters.	우수한 사냥 실력을 가진 산포에게 주어지는 특별한 장식입니다.
ITEM_20190419_022108	Wings of Victory	승리의 날개
ITEM_20190419_022109	[Matross Special Costume]	[매트로스 스페셜 코스튬]
ITEM_20190419_022110	An ornament that is worn by the most honored fighters of the Matrosses	큰 공을 새운 매트로스들은 이 장식을 달고 있습니다.
ITEM_20190419_022111	Sheriff Badge	별뱃지
ITEM_20190419_022112	[Sheriff Special Costume]	[셰리프 스페셜 코스튬]
ITEM_20190419_022113	A badge worn by the high ranking sheriffs.	계급이 높은 셰리프들이 달고 있는 뱃지입니다.
ITEM_20190419_022114	Grenade	수류탄
ITEM_20190419_022115	[Ardito Special Costume]	[아르디티 스페셜 코스튬]
ITEM_20190419_022116	The Arditi who have been recognized for their distinguished services in battle wear grenades such as this one.	최전선에서 아군의 승리에 공헌한 아르디티들은 좀 더 많은 수류탄을 가지고 있습니다.
ITEM_20190419_022117	Restores 30 Stamina.{nl}Good for:{nl} - Velheider{nl} - Hoglan{nl} - Baby Pig{nl} - Rocksodon{nl} - Armadillo{nl} - Golden Pup{nl} - Goro{nl} - Lucky Golden Pig{nl} - Hawk	스태미나를 30 회복 시켜줍니다.{nl}사용가능 목록{nl} - 벨하이더 {nl} - 호글란 {nl} - 아기돼지 {nl} - 락스돈 {nl} - 아르마딜로 {nl} - 금강불개{nl} - 댄디 멍뭉이{nl} - 황금 복돼지{nl} - 매
ITEM_20190419_022118	Instantly restores 20% of max. HP. {nl}Additionally restores the other 20% of HP every 2 seconds over 11 seconds. {nl}Right-click to use. Cooldown of 20 seconds.{nl}Will be automatically deleted at the end of the event period.	HP를 20% 즉시 회복시키고 2초 간격으로 11초 동안 HP를 20% 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 20초.{nl}19년 3월 28일 점검 시, 일괄 삭제됩니다.
